192.168.42.213, 2019-01-27 15:24:27, GET, /, HTTP/1.1, 303, 0.000887
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.716630
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002774
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.005357
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000962
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000801
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000986
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000805
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001720
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001058
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000957
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000753
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.006192
192.168.42.213, 2019-01-27 15:24:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.003146
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.096186
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001049
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003273
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004020
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000794
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002258
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000931
192.168.42.213, 2019-01-27 15:24:44, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000966
